"College Code","College Desc","Division Code","Division Desc","Dept1 Short Desc","Dept2 Code","Dept2 Short Desc","Dept1 Code","Prog Code","Prog Short Title","Prog Long Title","ATAS Req’d Ind","Prog Mode Code","Prog Mode Desc","Campus Code","Campus Desc","Length","Degree Code","Degree Long Desc","Joint Honours Ind","Alt Qual Ind","Subject1 Code","Subject1 Desc","Subject2 Code","Subject2 Desc","Subject3 Code","Subject3 Desc","Delivering Institution 1 Code","Delivering Institution 1 Desc","Delivering Institution 2 Code","Delivering Institution 2 Desc","Delivering Institution 3 Code","Delivering Institution 3 Desc","UOM Code","UOM Desc","Major Dept Code","Major Dept Short Desc","Reg Body Code","Reg Body Desc"
"11","College Arts and Law","046","Eng, Drama, & Creative Studies","Eng Lang and Linguistics","","","237","544C","PhD Eng Lan+App Li Melb U21 FT","","N","01","Full-time according to funding coun","J","Joint Institutions","3","057","Doctor of Philosophy","N","N","Q310","English language","","","","","0110","University of Birmingham","Z141","University of Melbourne","","","1","Year(s)","237","Eng Lang and Linguistics","",""
"12","College Social Sciences","012","Birmingham Business School","Birmingham Business School","","","211","601C","MSc Intern Business FT (Dubai)","International Business","N","01","Full-time according to funding coun","U","Dubai","12","039","Master of Science","N","N","N100","Business studies","","","","","0110","University of Birmingham","","","","","2","Months","211","Birmingham Business School","",""
"13","College Eng and Physical Sci","061","EPS - College Hub","EPS - College Hub","","","202","605C","BIA Engin Phys Sci 4Yr (Dubai)","Bachelor's Degree with Integrated Foundation Year (Engineering and Physical Sciences Pathway)","N","01","Full-time according to funding coun","U","Dubai","4","004","Bachelor of Science","N","N","Y000","Combined/general subject unspe","","","","","0110","University of Birmingham","","","","","1","Year(s)","202","EPS - College Hub","",""
"12","College Social Sciences","054","COS - College Hub","COS - College Hub","","","200","607C","BIA Soc Sci Bus Law 4Yr(Dubai)","Bachelor's Degree with Integrated Foundation Year (Social Sciences, Business and Law Pathway)","N","01","Full-time according to funding coun","U","Dubai","4","004","Bachelor of Science","N","N","Y000","Combined/general subject unspe","","","","","0110","University of Birmingham","","","","","1","Year(s)","200","COS - College Hub","",""
"13","College Eng and Physical Sci","080","School of Engineering","Elec, Elec & Sys Engineering","","","021","668C","BEng Mechatron + Robot Eng FT","Mechatronic and Robotic Engineering","N","01","Full-time according to funding coun","B","Birmingham","3","008","Bachelor of Engineering","N","N","H600","Electronic & electrical engineerin","","","","","0110","University of Birmingham","","","","","1","Year(s)","021","Elec, Elec & Sys Engineering","",""
"11","College Arts and Law","027","Birmingham Law School","Law","","","027","6290","LLM Internat Commercial Law FT","International Commercial Law","N","01","Full-time according to funding coun","B","Birmingham","12","045","Master of Laws","N","N","M221","Business & commercial law","","","","","0110","University of Birmingham","","","","","2","Months","027","Law","",""
"14","College Medicine and Den Sci","074","Institute of Clinical Sciences","Institute of Clinical Sciences","014","Chemistry","256","710C","MSc Pharmaceutical Science AQ","Pharmaceutical Science","N","","","B","Birmingham","","039","Master of Science","N","Y","","","","","","","0110","University of Birmingham","","","","","","","256","Institute of Clinical Sciences","",""
"13","College Eng and Physical Sci","080","School of Engineering","Elec, Elec & Sys Engineering","","","021","555C","MSc Communications Engineer PT","Communications Engineering","N","31","Part-time","B","Birmingham","24","039","Master of Science","N","N","H640","Communications engineering","","","","","0110","University of Birmingham","","","","","2","Months","021","Elec, Elec & Sys Engineering","",""
"13","College Eng and Physical Sci","080","School of Engineering","Elec, Elec & Sys Engineering","","","021","395C","BSc Electrica + Railway Eng FT","Electrical and Railway Engineering","N","01","Full-time according to funding coun","B","Birmingham","3","004","Bachelor of Science","N","N","H231","Permanent way engineering","H620","Electrical engineering","","","0110","University of Birmingham","","","","","1","Year(s)","021","Elec, Elec & Sys Engineering","",""
"11","College Arts and Law","049","Lan, Cult, Art Hist & Music","Modern Languages","","","227","479C","BA Modern Lang (French) FT","Modern Languages (French)","N","01","Full-time according to funding coun","B","Birmingham","4","003","Bachelor of Arts","N","N","R100","French studies","","","","","0110","University of Birmingham","","","","","1","Year(s)","227","Modern Languages","",""
"12","College Social Sciences","035","School of Social Policy","Social Work & Social Care","","","263","798C","PG VRS Soc Work + Soc Care FT","Department of Social Work and Social Care","N","01","Full-time according to funding coun","B","Birmingham","12","134","Visiting Research Student","N","N","L500","Social work","","","","","0110","University of Birmingham","","","","","2","Months","263","Social Work & Social Care","",""
"12","College Social Sciences","035","School of Social Policy","Social Work & Social Care","","","263","733C","PG Aff Adv Child Prot FT","Advanced Child Protection","N","01","Full-time according to funding coun","B","Birmingham","1","087","Postgraduate Affiliate","N","N","L520","Child care","","","","","0110","University of Birmingham","","","","","1","Year(s)","263","Social Work & Social Care","",""
"15","Corporate Services","072","Liberal Arts & Natural Science","Liberal Arts & Natural Science","","","238","871C","CertHE Liberal Arts + Scien AQ","Liberal Arts and Sciences","N","","","B","Birmingham","","105","Certificate of Higher Education","N","Y","","","","","","","0110","University of Birmingham","","","","","","","238","Liberal Arts & Natural Science","",""
"13","College Eng and Physical Sci","056","Chemical Engineering","Chemical Engineering","","","013","873C","PGCert Proj Contr PT (Blend)","Project Controls","Y","31","Part-time","D","Distance Education","12","086","Postgraduate Certificate","N","N","H800","Chemical, process & energy enginee","N200","Management studies","","","0110","University of Birmingham","","","","","2","Months","013","Chemical Engineering","",""
